EmpID,Age,Gender,Unit,Role,CertificationLevel,YearsExperience,ShiftPattern,WeeklyPatientLoad,OvertimeHoursPerWeek,AnnualSalary,HasDependents,CommuteMinutes,ManagerSupportScore,PeerSupportScore,BurnoutIndex
261,60,Female,Lab & Diagnostics,MRI Technician,Entry,0,Day,68,0,176285,Yes,29,1,3,6.8
262,34,Female,Surgery,Surgical Technician,Advanced,5,Night,24,30,110959,No,8,4,4,7.4
263,37,Female,Lab & Diagnostics,MRI Technician,Entry,14,Rotating 12h,61,0,112586,Yes,68,3,2,6.8
264,22,Female,Administration,Billing Specialist,Advanced,0,Day,0,30,47230,Yes,36,2,5,6.3
265,36,Non-Binary,Outpatient,Scheduler,Entry,8,Swing,39,0,158734,No,57,4,1,5.4
266,63,Male,Surgery,Surgeon,Entry,13,Night,22,0,299209,No,9,3,4,5.5
267,65,Non-Binary,Emergency,Paramedic,Intermediate,26,Rotating 12h,34,10,94389,No,50,5,2,8.3
268,59,Male,Surgery,Surgical Technician,Intermediate,17,Night,33,0,106087,No,42,4,3,6.4
269,26,Female,Surgery,OR Coordinator,Entry,4,Day,18,20,49857,Yes,64,4,1,5.4
270,51,Female,General Ward,Registered Nurse,Specialist,18,Swing,33,5,167987,No,55,4,1,5.8
271,41,Non-Binary,Facilities,Safety Officer,Specialist,3,Swing,0,5,44736,No,47,5,5,3.0
272,54,Non-Binary,Lab & Diagnostics,Lab Technician,Advanced,0,Day,38,10,124212,No,45,4,2,6.0
273,62,Female,Administration,Medical Records Clerk,Intermediate,36,Day,0,5,37720,No,23,4,3,4.1
274,62,Male,Lab & Diagnostics,Lab Technician,Intermediate,11,Day,45,5,142703,Yes,37,4,2,6.1
275,60,Female,General Ward,Registered Nurse,Intermediate,22,Day,12,15,53784,Yes,23,2,4,7.4
276,56,Female,Administration,Admin Assistant,Intermediate,30,Swing,0,0,50634,No,69,2,1,5.9
277,23,Non-Binary,Emergency,Paramedic,Entry,1,Day,42,20,102178,No,44,2,4,9.3
278,52,Non-Binary,General Ward,Registered Nurse,Specialist,23,Swing,16,5,145267,No,54,5,3,4.2
279,65,Male,Facilities,Safety Officer,Intermediate,34,Rotating 12h,0,15,52997,Yes,11,1,2,7.3
280,23,Non-Binary,General Ward,CNA,Specialist,1,Rotating 12h,42,10,92338,Yes,52,2,1,8.5
281,62,Female,Lab & Diagnostics,Lab Technician,Entry,5,Rotating 12h,44,0,142871,No,70,1,1,7.7
282,26,Non-Binary,General Ward,CNA,Specialist,3,Rotating 12h,11,10,101857,No,44,3,2,5.7
283,47,Female,Administration,HR Coordinator,Intermediate,9,Swing,0,10,62713,No,45,1,2,5.7
284,28,Male,Facilities,Environmental Services,Intermediate,2,Swing,0,5,57458,No,74,2,2,5.7
285,23,Non-Binary,Outpatient,Scheduler,Advanced,1,Night,53,15,170223,No,67,4,1,7.6
286,41,Male,Surgery,Surgical Nurse,Intermediate,5,Swing,19,10,126257,No,6,1,3,5.5
287,42,Male,General Ward,Nurse Practitioner,Intermediate,17,Rotating 12h,15,0,57829,No,6,5,3,5.6
288,51,Male,ICU,Respiratory Therapist,Specialist,3,Night,12,10,64905,No,29,2,2,8.1
289,44,Non-Binary,General Ward,Ward Clerk,Entry,4,Rotating 12h,26,20,76244,Yes,34,3,2,7.9
290,37,Female,ICU,ICU Technician,Entry,6,Swing,33,5,150065,Yes,55,5,5,6.4
291,64,Male,Administration,Admin Assistant,Advanced,19,Rotating 12h,0,0,76531,Yes,39,2,3,6.6
292,52,Male,Surgery,Anesthesiologist,Advanced,2,Rotating 12h,35,20,283113,No,39,1,5,10.0
293,30,Female,General Ward,Ward Clerk,Advanced,7,Rotating 12h,12,30,32112,No,53,3,1,7.3
294,54,Male,Surgery,Surgeon,Intermediate,21,Rotating 12h,29,0,245288,Yes,54,3,2,7.4
295,55,Female,Administration,Admin Assistant,Advanced,10,Swing,0,5,77537,Yes,15,2,1,5.3
296,34,Male,Lab & Diagnostics,Radiologist,Advanced,3,Day,75,30,264768,Yes,17,4,4,5.6
297,25,Female,Facilities,Facilities Manager,Specialist,0,Night,0,15,49766,No,48,1,3,6.6
298,25,Male,Administration,HR Coordinator,Advanced,2,Swing,0,10,39891,Yes,55,4,1,4.7
299,48,Non-Binary,Surgery,Surgical Technician,Intermediate,25,Day,40,5,39085,No,40,4,1,5.0
300,49,Female,Pharmacy,Pharmacy Technician,Advanced,16,Swing,63,20,99705,Yes,45,3,5,6.7
301,30,Male,General Ward,Registered Nurse,Specialist,2,Day,36,5,103945,Yes,13,4,3,5.7
302,38,Female,Administration,Billing Specialist,Intermediate,4,Night,0,0,78189,Yes,74,2,3,5.2
303,61,Female,ICU,ICU Technician,Advanced,26,Swing,38,30,91796,Yes,53,5,1,7.3
304,46,Female,Facilities,Maintenance Technician,Entry,6,Swing,0,0,45025,Yes,48,1,2,5.2
305,41,Non-Binary,Lab & Diagnostics,Radiologist,Intermediate,13,Day,63,10,178254,Yes,72,3,3,5.9
306,61,Male,Outpatient,Medical Assistant,Specialist,25,Day,22,10,175579,No,32,3,1,6.1
307,24,Male,Pharmacy,Pharmacist,Entry,1,Swing,24,5,94839,No,48,4,5,3.4
308,32,Male,Surgery,Surgical Nurse,Specialist,4,Day,14,15,90289,Yes,45,5,3,6.1
309,53,Non-Binary,Surgery,Surgical Technician,Advanced,16,Day,8,30,33687,Yes,62,5,1,7.4
310,48,Female,Facilities,Environmental Services,Intermediate,1,Rotating 12h,0,5,31310,Yes,30,1,1,5.2
311,54,Female,Facilities,Maintenance Technician,Intermediate,10,Night,0,10,43400,No,22,5,5,5.5
312,40,Female,Outpatient,Physician,Intermediate,9,Night,46,20,122196,Yes,17,3,4,8.3
313,55,Non-Binary,ICU,ICU Technician,Entry,30,Night,39,5,176402,Yes,34,4,1,7.2
314,57,Non-Binary,Facilities,Maintenance Technician,Entry,31,Swing,0,30,46777,No,33,5,2,5.8
315,33,Male,ICU,ICU Technician,Intermediate,0,Night,11,0,114951,Yes,43,5,1,5.7
316,59,Female,Surgery,OR Coordinator,Intermediate,14,Night,12,5,169257,No,22,2,3,6.5
317,29,Male,Outpatient,Nurse Practitioner,Specialist,0,Swing,27,0,136317,No,18,1,2,6.5
318,39,Female,General Ward,Registered Nurse,Specialist,0,Night,37,0,65920,Yes,60,5,1,5.9
319,26,Female,Outpatient,Medical Assistant,Entry,4,Day,36,0,130503,No,41,1,5,5.8
320,43,Male,Administration,Admin Assistant,Specialist,0,Swing,0,10,60286,Yes,14,2,3,5.4
321,60,Female,Surgery,Surgical Nurse,Intermediate,8,Night,18,15,128214,No,36,3,4,5.6
322,60,Female,Lab & Diagnostics,Lab Technician,Advanced,14,Day,68,5,75618,No,30,1,5,5.5
323,22,Female,Surgery,Surgeon,Entry,0,Swing,26,5,335975,No,63,4,3,4.2
324,36,Male,Administration,Medical Records Clerk,Intermediate,2,Day,0,5,76690,No,60,3,3,4.6
325,61,Female,Emergency,Paramedic,Intermediate,0,Night,43,30,98578,Yes,11,5,2,8.9
326,23,Non-Binary,ICU,Intensivist,Advanced,0,Rotating 12h,35,30,163912,No,39,1,4,9.8
327,25,Non-Binary,Outpatient,Medical Assistant,Intermediate,0,Night,79,10,104825,Yes,73,3,3,8.1
328,65,Non-Binary,Lab & Diagnostics,MRI Technician,Intermediate,32,Night,17,30,159892,No,39,1,1,8.7
329,60,Non-Binary,Facilities,Facilities Manager,Specialist,3,Night,0,20,59620,No,43,3,2,7.7
330,60,Non-Binary,General Ward,Ward Clerk,Specialist,10,Rotating 12h,44,30,150965,Yes,42,5,3,8.0
331,42,Non-Binary,Surgery,Surgeon,Advanced,4,Rotating 12h,10,5,305605,Yes,45,4,3,4.5
332,51,Non-Binary,ICU,Respiratory Therapist,Advanced,11,Day,19,10,129314,No,74,3,5,5.0
333,53,Female,Surgery,OR Coordinator,Specialist,3,Rotating 12h,41,10,49789,Yes,24,2,3,8.7
334,31,Male,Surgery,Surgical Nurse,Specialist,2,Night,16,0,41690,No,41,2,4,7.1
335,58,Female,Emergency,ER Technician,Intermediate,5,Night,25,5,86598,Yes,9,4,1,6.5
336,44,Male,Emergency,ER Technician,Intermediate,15,Night,9,15,87051,No,42,4,4,5.4
337,24,Non-Binary,Emergency,Triage Nurse,Specialist,0,Night,18,0,100746,Yes,19,4,5,4.8
338,62,Female,General Ward,CNA,Entry,28,Rotating 12h,31,20,129988,Yes,17,5,4,8.8
339,54,Non-Binary,Administration,Office Manager,Entry,26,Day,0,5,57941,Yes,33,1,2,5.0
340,60,Non-Binary,Administration,Office Manager,Entry,28,Night,0,0,62126,No,42,2,1,7.3
341,25,Male,Lab & Diagnostics,Pathologist,Specialist,3,Day,20,15,176142,Yes,34,1,2,6.3
342,36,Female,ICU,Respiratory Therapist,Advanced,3,Rotating 12h,24,20,86463,No,56,1,2,8.8
343,32,Non-Binary,Surgery,OR Coordinator,Specialist,4,Swing,45,0,80917,Yes,67,2,3,6.6
344,60,Male,General Ward,Registered Nurse,Specialist,37,Rotating 12h,11,10,81875,Yes,5,3,1,6.7
345,48,Male,Facilities,Maintenance Technician,Intermediate,24,Swing,0,15,48842,No,13,3,2,4.6
346,39,Female,Outpatient,Medical Assistant,Entry,4,Swing,57,5,52989,Yes,73,1,1,7.5
347,50,Female,Emergency,Paramedic,Intermediate,21,Rotating 12h,45,5,80490,No,39,5,2,8.6
348,33,Female,General Ward,Registered Nurse,Intermediate,11,Rotating 12h,32,0,46199,No,62,4,3,7.3
349,33,Female,Emergency,ER Technician,Intermediate,8,Day,40,5,72522,Yes,25,4,4,5.8
350,33,Male,Emergency,Triage Nurse,Entry,1,Night,35,5,177985,Yes,26,2,5,7.2
351,65,Male,Surgery,Surgeon,Specialist,13,Swing,14,15,151058,No,19,2,4,6.1
352,39,Male,Surgery,Surgeon,Specialist,4,Day,42,5,339010,No,29,3,5,6.2
353,46,Male,Lab & Diagnostics,Radiologist,Advanced,19,Swing,30,5,322498,Yes,20,5,4,4.4
354,31,Male,Outpatient,Medical Assistant,Advanced,1,Rotating 12h,32,0,90195,Yes,40,1,5,6.9
355,27,Male,General Ward,CNA,Intermediate,3,Night,23,10,115980,Yes,70,4,3,5.9
356,52,Non-Binary,Surgery,Surgical Nurse,Intermediate,13,Day,21,10,64282,No,46,5,1,5.5
357,26,Female,ICU,Respiratory Therapist,Intermediate,1,Rotating 12h,33,10,61493,Yes,46,5,2,7.1
358,23,Female,Surgery,Anesthesiologist,Entry,1,Rotating 12h,22,5,290604,Yes,64,4,3,5.5
359,63,Male,Outpatient,Scheduler,Advanced,15,Night,36,30,96945,Yes,46,1,4,9.1
360,53,Female,Emergency,Paramedic,Entry,5,Night,38,5,135194,No,75,3,4,7.8
361,44,Non-Binary,Administration,HR Coordinator,Entry,22,Swing,0,15,66472,Yes,17,1,5,6.9
362,43,Female,General Ward,CNA,Advanced,9,Swing,34,5,59243,Yes,40,2,2,6.3
363,29,Non-Binary,ICU,Respiratory Therapist,Advanced,3,Night,17,0,166927,Yes,15,1,1,7.7
364,64,Male,ICU,Intensivist,Advanced,34,Day,34,15,282129,Yes,72,1,1,7.9
365,67,Female,ICU,Respiratory Therapist,Specialist,17,Swing,28,20,129504,Yes,42,4,4,6.8
366,45,Female,Emergency,ER Physician,Specialist,1,Day,13,0,37681,Yes,59,5,3,4.8
367,59,Female,General Ward,Registered Nurse,Specialist,11,Day,16,5,137321,No,48,3,3,5.3
368,68,Non-Binary,Outpatient,Scheduler,Specialist,14,Day,39,5,132159,Yes,16,4,2,5.4
369,47,Female,Lab & Diagnostics,MRI Technician,Intermediate,5,Day,75,5,154403,Yes,63,2,4,6.8
370,31,Male,General Ward,Charge Nurse,Intermediate,0,Rotating 12h,12,10,169449,No,65,4,5,6.6
371,27,Male,Outpatient,Scheduler,Specialist,0,Night,42,20,110583,Yes,74,3,1,9.0
372,51,Female,ICU,Respiratory Therapist,Advanced,9,Day,29,5,36230,No,6,1,4,5.5
373,64,Male,General Ward,Charge Nurse,Specialist,4,Night,22,10,78235,Yes,51,4,4,6.0
374,59,Male,Administration,HR Coordinator,Advanced,37,Day,0,0,65897,No,37,1,4,5.3
375,28,Male,Administration,Medical Records Clerk,Entry,5,Rotating 12h,0,0,71473,No,31,3,5,3.8
376,24,Male,General Ward,Charge Nurse,Entry,2,Rotating 12h,35,20,96576,No,51,2,1,8.2
377,27,Female,General Ward,Nurse Practitioner,Intermediate,1,Day,23,10,47506,No,35,5,1,4.1
378,34,Female,Pharmacy,Pharmacy Technician,Intermediate,7,Swing,28,0,141512,Yes,59,4,3,4.9
379,58,Female,Emergency,ER Technician,Specialist,16,Night,9,20,71451,No,73,5,4,8.6
380,31,Male,ICU,Respiratory Therapist,Intermediate,2,Day,28,5,173107,Yes,34,1,2,6.3
381,60,Male,ICU,ICU Nurse,Specialist,21,Swing,34,0,71687,Yes,41,3,1,7.6
382,63,Female,Surgery,Surgical Nurse,Specialist,22,Day,24,5,96692,No,56,3,5,5.6
383,68,Male,Pharmacy,Clinical Pharmacist,Entry,29,Rotating 12h,37,30,143576,Yes,41,5,4,8.0
384,34,Non-Binary,General Ward,CNA,Entry,2,Rotating 12h,27,0,157999,Yes,51,3,1,5.9
385,56,Non-Binary,ICU,ICU Nurse,Entry,11,Day,13,0,60598,No,36,5,1,4.8
386,58,Male,Emergency,ER Nurse,Entry,17,Night,27,10,87682,No,5,4,4,7.2
387,25,Male,Surgery,Anesthesiologist,Intermediate,2,Night,10,20,216101,No,31,5,4,6.5
388,28,Non-Binary,Emergency,ER Nurse,Intermediate,2,Swing,21,5,83618,Yes,32,1,1,6.8
389,30,Female,General Ward,Nurse Practitioner,Intermediate,6,Rotating 12h,19,5,122049,Yes,41,2,4,5.5
390,37,Male,Outpatient,Medical Assistant,Entry,11,Swing,41,30,171423,No,42,3,4,7.1
391,28,Male,Facilities,Facilities Manager,Entry,6,Rotating 12h,0,20,58128,No,16,1,5,9.0
392,47,Male,Emergency,Paramedic,Advanced,23,Swing,13,10,40843,Yes,37,2,1,7.6
393,54,Female,Surgery,Surgeon,Specialist,14,Swing,45,10,190224,Yes,74,1,4,8.0
394,65,Female,Outpatient,Physician,Intermediate,39,Night,80,15,62872,No,60,5,4,8.1
395,49,Non-Binary,Emergency,Paramedic,Entry,25,Day,33,15,119006,Yes,13,5,4,6.5
396,26,Female,General Ward,Charge Nurse,Specialist,0,Swing,9,10,144937,Yes,43,4,1,5.7
397,40,Non-Binary,Facilities,Facilities Manager,Intermediate,12,Night,0,10,31417,No,63,4,2,5.6
398,58,Male,Surgery,Anesthesiologist,Specialist,14,Day,12,10,216778,Yes,61,1,5,5.5
399,34,Female,Surgery,Surgeon,Specialist,4,Night,42,5,315664,Yes,19,1,1,7.6
400,48,Male,Outpatient,Medical Assistant,Entry,2,Swing,50,20,166542,No,56,5,1,6.8
401,41,Non-Binary,Emergency,ER Nurse,Intermediate,10,Night,44,10,61007,No,21,2,1,9.7
402,46,Male,Administration,Office Manager,Advanced,21,Rotating 12h,0,10,64000,Yes,54,2,5,7.4
403,35,Male,Outpatient,Physician,Intermediate,1,Day,56,0,117915,No,32,3,2,6.0
404,68,Non-Binary,Emergency,ER Technician,Entry,11,Night,45,5,99987,No,10,3,3,7.2
405,34,Non-Binary,ICU,Respiratory Therapist,Intermediate,2,Swing,26,0,80102,No,70,1,1,7.0
406,68,Male,Outpatient,Scheduler,Specialist,3,Day,66,5,74115,Yes,56,5,2,4.5
407,42,Non-Binary,General Ward,Registered Nurse,Advanced,6,Swing,21,10,143208,No,14,3,3,5.1
408,50,Female,ICU,ICU Nurse,Specialist,8,Swing,28,15,83219,Yes,20,5,4,5.0
409,59,Male,Surgery,Surgeon,Intermediate,26,Day,19,15,189011,Yes,54,1,5,7.2
410,67,Male,Surgery,OR Coordinator,Specialist,32,Swing,10,15,179681,No,63,3,3,5.1
411,62,Female,Lab & Diagnostics,Phlebotomist,Intermediate,1,Day,37,10,75823,Yes,18,1,2,7.8
412,30,Non-Binary,Administration,Office Manager,Entry,1,Night,0,0,39982,Yes,74,5,3,5.2
413,47,Female,Lab & Diagnostics,Phlebotomist,Entry,3,Swing,22,15,175783,No,49,2,5,6.4
414,53,Non-Binary,Administration,Medical Records Clerk,Advanced,1,Rotating 12h,0,0,46337,No,74,5,4,4.7
415,42,Non-Binary,Surgery,Surgical Technician,Entry,17,Rotating 12h,9,0,123299,No,11,4,2,6.8
416,55,Male,Facilities,Facilities Manager,Entry,21,Night,0,5,39973,No,49,5,5,4.6
417,34,Non-Binary,Outpatient,Medical Assistant,Entry,5,Day,60,0,62181,No,38,5,1,5.8
418,43,Female,ICU,ICU Nurse,Advanced,13,Rotating 12h,8,10,179835,Yes,23,1,5,7.6
419,32,Male,General Ward,Registered Nurse,Entry,8,Rotating 12h,33,30,147080,No,73,1,2,9.6
420,24,Female,General Ward,CNA,Advanced,0,Night,34,0,36688,Yes,13,5,1,6.3
421,33,Non-Binary,General Ward,Nurse Practitioner,Intermediate,0,Rotating 12h,30,10,45908,No,71,4,1,5.9
422,66,Female,Facilities,Maintenance Technician,Entry,40,Rotating 12h,0,20,34878,Yes,27,5,3,6.9
423,55,Non-Binary,Administration,Admin Assistant,Intermediate,23,Night,0,0,62327,Yes,61,2,4,6.9
424,52,Non-Binary,Facilities,Facilities Manager,Advanced,4,Night,0,30,56800,No,69,4,5,5.9
425,66,Non-Binary,General Ward,Charge Nurse,Advanced,9,Swing,15,30,107669,No,65,1,4,7.6
426,45,Male,Facilities,Environmental Services,Advanced,15,Rotating 12h,0,5,58001,Yes,38,4,3,4.5
427,36,Male,Outpatient,Scheduler,Entry,2,Day,45,30,127166,Yes,10,3,5,7.1
428,57,Female,Lab & Diagnostics,MRI Technician,Entry,2,Rotating 12h,78,10,59190,Yes,51,1,5,8.4
429,63,Female,Emergency,Triage Nurse,Entry,23,Night,27,15,151774,No,18,2,5,9.0
430,56,Female,ICU,ICU Nurse,Specialist,22,Day,8,0,41517,No,71,3,2,5.6
431,42,Female,Emergency,Triage Nurse,Advanced,17,Rotating 12h,20,20,40121,No,75,4,5,8.3
432,25,Non-Binary,Emergency,ER Nurse,Entry,0,Swing,12,0,164736,No,12,4,1,5.6
433,50,Male,Emergency,ER Technician,Specialist,28,Rotating 12h,25,0,163022,No,68,3,2,5.3
434,55,Non-Binary,Facilities,Maintenance Technician,Entry,9,Rotating 12h,0,0,36064,Yes,20,5,5,3.1
435,41,Female,Outpatient,Physician,Specialist,5,Night,34,5,140446,No,49,4,3,5.8
436,31,Male,Outpatient,Scheduler,Entry,5,Night,31,0,75652,Yes,46,2,1,7.8
437,31,Male,ICU,Intensivist,Intermediate,5,Rotating 12h,15,0,160493,No,63,4,3,5.8
438,68,Non-Binary,Surgery,Anesthesiologist,Advanced,36,Swing,41,0,319324,Yes,58,1,4,7.1
439,38,Non-Binary,Lab & Diagnostics,Lab Technician,Entry,3,Swing,57,10,54551,No,63,1,1,7.3
440,59,Male,Surgery,Anesthesiologist,Specialist,5,Day,18,0,209937,Yes,48,3,4,4.7
441,61,Female,General Ward,Ward Clerk,Advanced,23,Swing,18,5,97439,Yes,51,2,4,5.8
442,63,Non-Binary,Outpatient,Scheduler,Entry,17,Swing,15,10,115097,Yes,71,2,1,7.3
443,34,Male,Administration,Billing Specialist,Specialist,0,Night,0,15,43960,No,19,5,5,5.1
444,46,Male,Facilities,Environmental Services,Advanced,7,Rotating 12h,0,5,42063,No,6,4,3,5.4
445,23,Non-Binary,Emergency,Paramedic,Advanced,0,Rotating 12h,10,30,159208,No,32,5,2,7.7
446,55,Non-Binary,Facilities,Facilities Manager,Entry,2,Rotating 12h,0,5,57442,Yes,18,3,4,4.5
447,38,Non-Binary,General Ward,Nurse Practitioner,Intermediate,11,Rotating 12h,18,15,132825,No,24,5,3,6.6
448,45,Female,Emergency,Paramedic,Specialist,15,Swing,41,20,90567,No,74,5,1,7.4
449,55,Female,General Ward,Registered Nurse,Entry,28,Day,9,15,38337,Yes,11,2,3,7.8
450,36,Female,Outpatient,Nurse Practitioner,Specialist,2,Swing,54,30,164286,Yes,59,1,1,9.3
451,54,Male,Outpatient,Medical Assistant,Entry,4,Swing,66,20,154048,Yes,65,1,1,8.2
452,65,Male,Emergency,ER Nurse,Entry,34,Night,33,10,145674,No,73,5,3,8.7
453,39,Female,Emergency,ER Nurse,Intermediate,17,Day,37,5,151660,No,70,3,4,6.7
454,40,Male,Facilities,Environmental Services,Advanced,4,Day,0,5,35336,Yes,50,1,5,4.1
455,36,Non-Binary,Surgery,Surgical Technician,Specialist,5,Day,19,5,77231,Yes,59,1,4,5.0
456,67,Male,Facilities,Environmental Services,Entry,11,Rotating 12h,0,0,34678,Yes,59,1,2,5.7
457,67,Non-Binary,Outpatient,Nurse Practitioner,Entry,17,Swing,57,0,74082,No,5,4,5,5.4
458,51,Non-Binary,Outpatient,Physician,Entry,1,Rotating 12h,77,30,92616,No,24,2,2,8.3
459,44,Female,General Ward,Registered Nurse,Entry,8,Night,20,15,58496,No,22,3,4,6.8
460,41,Female,General Ward,Charge Nurse,Entry,12,Swing,29,10,127111,Yes,39,2,3,5.5
461,26,Female,Outpatient,Scheduler,Advanced,0,Swing,54,15,150054,No,6,3,4,7.6
462,31,Non-Binary,ICU,Intensivist,Intermediate,8,Day,22,0,150749,No,42,5,1,4.7
463,35,Male,Outpatient,Medical Assistant,Entry,12,Swing,35,10,58162,No,55,1,1,7.3
464,55,Female,Facilities,Environmental Services,Advanced,27,Rotating 12h,0,30,41950,Yes,75,5,5,6.4
465,62,Female,Outpatient,Medical Assistant,Entry,15,Swing,59,0,122387,Yes,37,4,4,5.9
466,55,Non-Binary,General Ward,Registered Nurse,Intermediate,5,Night,39,15,161157,No,6,1,1,8.2
467,23,Non-Binary,Emergency,ER Physician,Specialist,1,Swing,29,20,82430,Yes,71,1,2,7.2
468,57,Non-Binary,Facilities,Safety Officer,Entry,16,Rotating 12h,0,0,50150,Yes,43,3,2,5.5
469,39,Female,Surgery,Surgeon,Intermediate,6,Day,12,20,266723,Yes,29,1,1,8.6
470,64,Female,Surgery,Anesthesiologist,Specialist,39,Rotating 12h,15,0,265785,Yes,59,4,3,6.1
471,38,Male,Outpatient,Medical Assistant,Specialist,11,Swing,73,10,68497,Yes,69,5,2,6.5
472,53,Non-Binary,ICU,Intensivist,Advanced,20,Day,14,15,182754,Yes,26,4,1,6.4
473,62,Female,General Ward,Registered Nurse,Specialist,2,Swing,16,0,77374,No,49,3,2,5.6
474,65,Non-Binary,General Ward,Ward Clerk,Intermediate,3,Day,28,20,145000,Yes,67,3,5,5.7
475,58,Male,Facilities,Environmental Services,Specialist,31,Swing,0,15,53318,No,46,5,1,3.9
476,62,Non-Binary,Emergency,Paramedic,Intermediate,32,Day,24,5,160070,No,69,5,1,5.2
477,35,Female,General Ward,Charge Nurse,Advanced,7,Night,9,5,61990,Yes,39,2,3,7.2
478,22,Male,General Ward,Registered Nurse,Specialist,0,Day,33,20,35424,No,56,2,3,9.0
479,23,Male,Outpatient,Physician,Intermediate,0,Rotating 12h,42,5,168449,Yes,45,4,1,7.0
480,53,Female,General Ward,CNA,Specialist,4,Swing,36,15,92865,No,47,2,4,6.2
481,39,Male,Emergency,ER Technician,Intermediate,7,Rotating 12h,42,20,73903,Yes,31,4,5,7.1
482,41,Non-Binary,Outpatient,Nurse Practitioner,Specialist,8,Day,56,10,175755,No,44,5,2,6.6
483,28,Male,Surgery,Surgical Nurse,Intermediate,4,Night,9,5,54724,No,35,2,1,6.5
484,66,Male,Pharmacy,Pharmacy Technician,Specialist,11,Night,79,10,107757,Yes,13,1,5,7.5
485,57,Male,Surgery,Surgical Nurse,Entry,35,Swing,38,5,59035,No,65,1,5,6.8
486,48,Non-Binary,Administration,Billing Specialist,Intermediate,19,Day,0,15,77107,Yes,57,4,4,5.2
487,65,Non-Binary,Lab & Diagnostics,MRI Technician,Specialist,4,Rotating 12h,59,5,159284,No,10,5,2,5.9
488,23,Female,Administration,Office Manager,Advanced,0,Night,0,5,64257,Yes,40,1,5,5.8
489,63,Male,Administration,Admin Assistant,Entry,37,Day,0,10,81474,No,22,4,2,5.1
490,45,Female,Outpatient,Physician,Specialist,2,Rotating 12h,51,0,66738,No,73,4,4,6.1
491,59,Male,Emergency,Paramedic,Intermediate,33,Night,11,0,42961,No,56,3,1,7.5
492,35,Non-Binary,Surgery,Anesthesiologist,Specialist,10,Rotating 12h,33,10,264871,No,60,3,1,7.1
493,42,Male,Emergency,ER Physician,Advanced,4,Rotating 12h,33,10,41881,No,9,2,1,9.8
494,63,Male,Lab & Diagnostics,MRI Technician,Intermediate,26,Night,31,10,64179,No,67,4,2,7.1
495,49,Non-Binary,General Ward,Registered Nurse,Specialist,3,Night,36,5,48168,No,73,1,1,8.5
496,39,Non-Binary,Outpatient,Medical Assistant,Advanced,2,Day,57,10,132101,Yes,38,2,4,7.7
497,62,Male,Facilities,Environmental Services,Specialist,29,Day,0,5,36295,No,56,3,5,3.5
498,58,Non-Binary,General Ward,Ward Clerk,Specialist,14,Rotating 12h,13,20,114521,Yes,69,5,4,7.3
499,57,Male,Outpatient,Medical Assistant,Intermediate,7,Rotating 12h,20,20,117410,Yes,38,3,1,8.1
500,26,Male,Emergency,ER Physician,Specialist,1,Night,12,10,38513,Yes,24,5,5,6.5
501,37,Female,Facilities,Environmental Services,Intermediate,4,Night,0,20,59550,Yes,31,2,5,6.8
502,55,Female,Emergency,Paramedic,Specialist,25,Day,9,20,102477,Yes,37,4,4,6.5
503,39,Male,Outpatient,Physician,Entry,10,Day,38,15,76540,No,21,4,5,6.2
504,66,Female,Outpatient,Medical Assistant,Intermediate,31,Swing,55,5,148352,Yes,28,4,5,5.3
505,63,Non-Binary,Surgery,Surgical Nurse,Intermediate,0,Rotating 12h,29,0,62846,No,71,2,5,5.9
506,43,Female,Facilities,Safety Officer,Advanced,14,Night,0,5,54315,Yes,32,2,2,5.9
507,64,Male,Surgery,Surgeon,Intermediate,35,Day,37,10,334659,No,47,2,1,7.2
508,34,Male,General Ward,Charge Nurse,Specialist,8,Day,36,5,61799,No,54,2,5,7.3
509,67,Non-Binary,Lab & Diagnostics,Lab Technician,Specialist,10,Rotating 12h,73,0,126319,No,5,3,4,5.2
510,25,Male,Facilities,Environmental Services,Entry,0,Day,0,0,49254,Yes,19,1,5,4.7
511,34,Female,Emergency,ER Physician,Entry,8,Rotating 12h,40,0,119621,No,18,4,5,7.1
512,30,Male,Emergency,Paramedic,Intermediate,5,Swing,31,10,165729,No,16,3,3,8.0
513,30,Male,ICU,Intensivist,Entry,8,Night,38,20,288963,No,44,3,5,8.7
514,60,Female,ICU,Intensivist,Intermediate,16,Swing,17,0,311203,Yes,42,2,1,6.4
515,51,Male,Administration,Billing Specialist,Advanced,20,Day,0,0,35721,Yes,32,3,1,4.3
516,53,Male,Surgery,Anesthesiologist,Entry,18,Day,30,20,348850,Yes,35,3,2,6.9
517,68,Male,Outpatient,Nurse Practitioner,Intermediate,15,Day,56,10,153716,Yes,49,3,4,6.0
518,49,Non-Binary,General Ward,Registered Nurse,Entry,4,Night,32,20,84109,Yes,38,2,3,10.0
519,58,Male,Administration,Medical Records Clerk,Advanced,14,Night,0,15,52455,Yes,47,3,3,5.2
520,47,Non-Binary,General Ward,Registered Nurse,Specialist,24,Night,35,20,56839,No,43,4,4,9.7
521,48,Female,Pharmacy,Clinical Pharmacist,Intermediate,15,Swing,42,20,83905,No,24,3,5,7.5
522,57,Non-Binary,Emergency,Paramedic,Advanced,1,Night,15,10,89890,No,32,1,2,7.2
523,26,Female,General Ward,CNA,Entry,3,Swing,23,30,80604,No,21,1,5,7.2
524,63,Male,General Ward,Charge Nurse,Advanced,23,Swing,19,15,166795,No,5,1,5,7.6
